5.024414062500000000e+01,7.743608410173058454e-02
5.502929687500000000e+01,1.095090386320076020e-01
5.981445312500000000e+01,1.447046176214753510e-01
6.459960937500000000e+01,1.759643077731123384e-01
6.938476562500000000e+01,1.991017126084988764e-01
7.416992187500000000e+01,2.850020812475728138e-01
7.895507812500000000e+01,2.427824286203600912e-01
8.374023437500000000e+01,2.505559869267582895e-01
8.852539062500000000e+01,2.494375470190434707e-01
9.331054687500000000e+01,2.390999845890155184e-01
9.809570312500000000e+01,2.308233740672824830e-01
1.028808593750000000e+02,2.284016840638230517e-01
1.076660156250000000e+02,2.260049986177275483e-01
1.124511718750000000e+02,2.209176899467540645e-01
1.172363281250000000e+02,2.160518348763560137e-01
1.220214843750000000e+02,2.097418605550912807e-01
1.268066406250000000e+02,2.065417240146776856e-01
1.315917968750000000e+02,1.987372549261754440e-01
1.363769531250000000e+02,1.903322551996198819e-01
1.411621093750000000e+02,1.830606442658601063e-01
1.459472656250000000e+02,1.763002678715543947e-01
1.507324218750000000e+02,1.693392162453624672e-01
1.555175781250000000e+02,1.632019353982829268e-01
1.603027343750000000e+02,1.549137347600935688e-01
1.650878906250000000e+02,1.493223849702292882e-01
1.698730468750000000e+02,1.432472165016239196e-01
1.746582031250000000e+02,1.386861755286875886e-01
1.794433593750000000e+02,1.340739712701236042e-01
1.842285156250000000e+02,1.380788922308862077e-01
1.890136718750000000e+02,1.261119776323669228e-01
1.937988281250000000e+02,1.206870358081878758e-01
1.985839843750000000e+02,1.173919620536077874e-01
2.033691406250000000e+02,1.137777196211381403e-01
2.081542968750000000e+02,1.148768167204594348e-01
2.129394531250000000e+02,1.055837284229387552e-01
2.177246093750000000e+02,1.046160551986731052e-01
2.225097656250000000e+02,1.021450587774097030e-01
2.272949218750000000e+02,9.888689129513852927e-02
2.320800781250000000e+02,9.576692320795562874e-02
2.368652343750000000e+02,1.532195612210573432e-01
2.416503906250000000e+02,1.114315008472471780e-01
2.464355468750000000e+02,7.990779345429122049e-02
2.512207031250000000e+02,7.778333626708058834e-02
2.560058593750000000e+02,7.534026644830821295e-02
2.607910156250000000e+02,7.291226391163109499e-02
2.655761718750000000e+02,6.979383515160272888e-02
2.703613281250000000e+02,7.515133048536698501e-02
2.751464843750000000e+02,6.858687976120798890e-02
2.799316406250000000e+02,6.524261215279028581e-02
2.847167968750000000e+02,6.160411918748411042e-02
2.895019531250000000e+02,6.044513100751451595e-02
2.942871093750000000e+02,9.050393980771499758e-02
2.990722656250000000e+02,6.103757820683149149e-02
3.038574218750000000e+02,5.299627813332223603e-02
3.086425781250000000e+02,5.158525628398580309e-02
3.134277343750000000e+02,5.081760376637778354e-02
3.182128906250000000e+02,4.916238110990553412e-02
3.229980468750000000e+02,4.870115096686096490e-02
3.277832031250000000e+02,5.346257572023791621e-02
3.325683593750000000e+02,4.652923001213830206e-02
3.373535156250000000e+02,6.615195808968815649e-02
3.421386718750000000e+02,4.403225490584786878e-02
3.469238281250000000e+02,4.180718538575722149e-02
3.517089843750000000e+02,1.105859637341090329e-01
3.564941406250000000e+02,3.766508872565681176e-02
